Task ID,Start date ('YYYY-MM-DD'),End date  ('YYYY-MM-DD'),Start date since project start ,End date since project start 
339,'2016-01-01','2017-01-27',122,514
340,'2016-01-01','2017-01-27',122,514
341,'2016-01-01','2017-01-27',122,514
342,'2016-03-26','2017-01-27',207,514
343,'2016-01-01','2017-01-27',122,514
344,'2016-02-27','2016-09-30',179,395
345,'2016-01-01','2017-01-27',122,514
346,'2016-05-28','2017-01-27',270,514
347,'2017-01-30','2017-02-03',517,521
348,'2017-01-30','2017-01-30',517,517
349,'2017-01-30','2017-06-30',517,668
350,'2016-01-01','2017-01-27',122,514
351,'2017-06-30','2017-06-30',668,668
352,'2017-01-30','2017-01-30',517,517
353,'2017-01-30','2017-02-03',517,521
354,'2017-01-30','2017-02-03',517,521
355,'2017-02-03','2017-02-03',521,521
356,'2017-01-30','2017-01-30',517,517
357,'2017-01-30','2017-02-03',517,521
358,'2016-02-27','2016-10-28',179,423
359,'2017-02-03','2017-02-03',521,521
360,'2017-01-30','2017-01-30',517,517
361,'2017-01-30','2017-02-03',517,521
362,'2017-01-30','2017-02-03',517,521
363,'2017-02-03','2017-02-03',521,521
364,'2017-01-30','2017-01-30',517,517
365,'2017-01-30','2017-02-03',517,521
366,'2017-01-30','2017-02-03',517,521
367,'2017-02-03','2017-02-03',521,521
368,'2016-01-01','2017-01-27',122,514
369,'2016-03-01','2016-03-07',182,188
370,'2016-03-01','2016-03-07',182,188
371,'2016-03-01','2016-03-07',182,188
372,'2016-01-01','2017-01-27',122,514
373,'2016-01-01','2017-01-27',122,514
374,'2017-01-30','2017-02-03',517,521
375,'2016-01-04','2016-01-04',125,125
376,'2017-01-30','2017-02-03',517,521
377,'2017-01-30','2017-02-03',517,521
378,'2017-02-03','2017-02-03',521,521
379,'2016-01-04','2016-01-04',125,125
380,'2016-06-25','2017-01-27',298,514
381,'2017-01-30','2017-03-31',517,577
382,'2017-03-31','2017-03-31',577,577
383,'2016-01-04','2016-01-04',125,125
384,'2016-02-27','2017-01-27',179,514
385,'2017-01-30','2017-03-02',517,548
386,'2017-03-02','2017-03-02',548,548
387,'2016-12-16','2017-01-13',472,500
388,'2016-02-01','2017-01-27',153,514
389,'2016-02-01','2017-01-27',153,514
390,'2016-02-01','2017-01-27',153,514
391,'2016-02-29','2017-05-26',181,633
392,'2016-02-29','2017-05-26',181,633
393,'2016-02-29','2017-05-26',181,633
394,'2016-02-29','2017-05-26',181,633
395,'2016-02-29','2017-05-26',181,633
396,'2016-04-29','2017-05-25',241,632
397,'2017-06-12','2017-07-07',650,675
398,'2016-02-22','2016-09-19',174,384
399,'2016-02-22','2017-05-26',174,633
400,'2016-10-03','2016-10-17',398,412
401,'2017-04-21','2017-04-21',598,598
402,'2016-06-24','2016-07-18',297,321
403,'2016-01-04','2016-01-04',125,125
404,'2016-01-30','2016-12-31',151,487
405,'2017-01-30','2017-01-30',517,517
406,'2017-01-16','2017-06-14',503,652
407,'2017-01-30','2017-02-24',517,542
408,'2017-01-30','2017-02-24',517,542
409,'2017-01-30','2017-02-24',517,542
410,'2017-01-30','2017-02-03',517,521
411,'2015-09-28','2016-04-29',27,241
412,'2016-02-22','2016-03-15',174,196
413,'2016-05-27','2016-05-27',269,269
414,'2016-02-22','2016-09-09',174,374
415,'2016-05-16','2016-05-16',258,258
416,'2016-02-22','2016-09-09',174,374
417,'2016-05-16','2016-05-16',258,258
418,'2016-05-26','2016-05-26',268,268
419,'2017-03-24','2017-05-04',570,611
420,'2016-02-22','2016-09-09',174,374
421,'2017-01-30','2017-02-03',517,521
422,'2017-01-30','2017-02-03',517,521
423,'2017-01-30','2017-02-03',517,521
424,'2017-01-30','2017-02-03',517,521
425,'2017-01-30','2017-02-24',517,542
426,'2017-01-30','2017-02-03',517,521
427,'2017-01-03','2017-02-02',490,520
428,'2016-08-01','2016-09-05',335,370
429,'2016-05-31','2016-05-31',273,273
430,'2016-08-01','2016-09-05',335,370
432,'2017-02-16','2017-02-16',534,534
433,'2017-03-22','2017-06-12',568,650
434,'2017-01-30','2017-02-24',517,542
435,'2017-01-30','2017-02-24',517,542
436,'2017-03-17','2017-03-17',563,563
437,'2016-02-29','2017-05-26',181,633
438,'2016-05-03','2016-05-09',245,251
